fecha,autor_critica,autor_portada,titulo_portada,url,url_imagen,news_keywords,keywords,descripcion,id
The Innovators Issue,"“Man’s Best Friend,” by Dan Clowes.",missing,missing,missing,"https://media.newyorker.com/photos/590950c1ebe912338a372511/master/w_280,c_limit/2008_05_12.jpg",missing,missing,missing,missing
"May 19, 2008","“Springtime,” by J. J. Sempé",missing,missing,missing,"https://media.newyorker.com/photos/590950c2ebe912338a372514/master/w_280,c_limit/2008_05_19.jpg",missing,missing,missing,missing
"May 26, 2008","“Through the Wringer,” by Peter de Sève.",missing,missing,missing,"https://media.newyorker.com/photos/590950c2019dfc3494e9d6df/master/w_280,c_limit/2008_05_26.jpg",missing,missing,missing,missing
"June 2, 2008","“Foot in the Door,” by Bob Staake.",missing,missing,missing,"https://media.newyorker.com/photos/59097ae2ebe912338a37852a/master/w_280,c_limit/06_02_2008.jpg",missing,missing,missing,missing
Summer Fiction Issue,"“Book Lovers,” by Adrian Tomine.",missing,missing,missing,"https://media.newyorker.com/photos/590950c32179605b11ad2cec/master/w_280,c_limit/2008_06_09.jpg",missing,missing,missing,missing
"June 23, 2008","“Summer Job,” by Bruce McCall",missing,missing,missing,"https://media.newyorker.com/photos/590950c41c7a8e33fb38a034/master/w_280,c_limit/2008_06_23.jpg",missing,missing,missing,missing
"June 30, 2008","“Subway Man,” by Roz Chast.",missing,missing,missing,"https://media.newyorker.com/photos/590950c56552fa0be682b9e1/master/w_280,c_limit/2008_06_30.jpg",missing,missing,missing,missing
"July 7, 2008","“First Bath,” by J. J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950c5019dfc3494e9d6ef/master/w_280,c_limit/2008_07_07.jpg",missing,missing,missing,missing
"July 21, 2008","“The Politics of Fear,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c6019dfc3494e9d6f3/master/w_280,c_limit/2008_07_21.jpg",missing,missing,missing,missing
"July 28, 2008","“Summer Getaway,” by Peter de Sève.",missing,missing,missing,"https://media.newyorker.com/photos/590979a58b51cf59fc42388b/master/w_280,c_limit/7_28_08.jpg",missing,missing,missing,missing
"August 4, 2008","“Night Cap,” by Kim DeMarco.",missing,missing,missing,"https://media.newyorker.com/photos/590950c71c7a8e33fb38a03d/master/w_280,c_limit/2008_08_04.jpg",missing,missing,missing,missing
"August 11, 2008","“Future Memories,” by J.J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950c86552fa0be682b9ed/master/w_280,c_limit/2008_08_11.jpg",missing,missing,missing,missing
"August 25, 2008","“Swim, Swam, Swum,” by Richard McGuire.",missing,missing,missing,"https://media.newyorker.com/photos/590950c8019dfc3494e9d6f9/master/w_280,c_limit/2008_08_25.jpg",missing,missing,missing,missing
The Style Issue,"“Object of Desire,” by Ana Juan.",missing,missing,missing,"https://media.newyorker.com/photos/590950b86552fa0be682b9bd/master/w_280,c_limit/2008_09_01.jpg",missing,missing,missing,missing
"September 8, 2008","“McNopoly,” by Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950b7c14b3c606c1034fa/master/w_280,c_limit/2008_09_08.jpg",missing,missing,missing,missing
"September 15, 2008","“New York Moment,” by Eric Drooker.",missing,missing,missing,"https://media.newyorker.com/photos/590950b71c7a8e33fb389ff6/master/w_280,c_limit/2008_09_15.jpg",missing,missing,missing,missing
"September 22, 2008","“The Race Is On,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950b91c7a8e33fb38a002/master/w_280,c_limit/2008_09_22.jpg",missing,missing,missing,missing
"September 29, 2008","“Downward Mobility,” by Eric Drooker.",missing,missing,missing,"https://media.newyorker.com/photos/590950b9ebe912338a3724fc/master/w_280,c_limit/2008_09_29.jpg",missing,missing,missing,missing
"October 6, 2008","“A Room with a View,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950baebe912338a372500/master/w_280,c_limit/2008_10_06.jpg",missing,missing,missing,missing
"October 13, 2008","“Face-Off,” by Bob Staake.",missing,missing,missing,"https://media.newyorker.com/photos/590950bc1c7a8e33fb38a00e/master/w_280,c_limit/2008_10_13.jpg",missing,missing,missing,missing
"October 20, 2008","“Red Death on Wall Street,” by Robert Risko.",missing,missing,missing,"https://media.newyorker.com/photos/590950bcc14b3c606c103510/master/w_280,c_limit/2008_10_20.jpg",missing,missing,missing,missing
"October 27, 2008","“With Dignity,” by Richard McGuire.",missing,missing,missing,"https://media.newyorker.com/photos/590950bd019dfc3494e9d6c9/master/w_280,c_limit/2008_10_27.jpg",missing,missing,missing,missing
The Cartoon Issue,"“A True Scare,” by Carter Goodrich.",missing,missing,missing,"https://media.newyorker.com/photos/590950be6552fa0be682b9d1/master/w_280,c_limit/2008_11_03.jpg",missing,missing,missing,missing
"November 10, 2008","“A Very Long Tunnel,” by Brian Stauffer.",missing,missing,missing,"https://media.newyorker.com/photos/590950be019dfc3494e9d6cd/master/w_280,c_limit/2008_11_10.jpg",missing,missing,missing,missing
Election Special,"“Reflection,” by Bob Staake.",missing,missing,missing,"https://media.newyorker.com/photos/590950bf019dfc3494e9d6cf/master/w_280,c_limit/2008_11_17.jpg",missing,missing,missing,missing
The Food Issue,"“Harvest Display,” by Wayne Thiebaud.",missing,missing,missing,"https://media.newyorker.com/photos/590950c0ebe912338a37250a/master/w_280,c_limit/2008_11_24.jpg",missing,missing,missing,missing
"December 1, 2008","“Family Gathering,” by Harry Bliss.",missing,missing,missing,"https://media.newyorker.com/photos/590950c16552fa0be682b9d7/master/w_280,c_limit/2008_12_01.jpg",missing,missing,missing,missing
"December 8, 2008","“Vetting,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c1c14b3c606c103524/master/w_280,c_limit/2008_12_08.jpg",missing,missing,missing,missing
"December 15, 2008","“Green Christmas,” by Marcellus Hall.",missing,missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a37251f/master/w_280,c_limit/2008_12_15.jpg",missing,missing,missing,missing
"December 22, 2008",missing,missing,missing,missing,,missing,missing,missing,missing
"January 5, 2009","“Everything Must Go,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c2c14b3c606c103526/master/w_280,c_limit/2009_01_05.jpg",missing,missing,missing,missing
"January 12, 2009","“The High Life,” by Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950c4c14b3c606c10352e/master/w_280,c_limit/2009_01_12.jpg",missing,missing,missing,missing
"January 19, 2009","“To the White House,” by Guy Billout.",missing,missing,missing,"https://media.newyorker.com/photos/590950c56552fa0be682b9e3/master/w_280,c_limit/2009_01_19.jpg",missing,missing,missing,missing
"January 26, 2009","“The First,” by Drew Friedman.",missing,missing,missing,"https://media.newyorker.com/photos/590950c52179605b11ad2cf6/master/w_280,c_limit/2009_01_26.jpg",missing,missing,missing,missing
"February 2, 2009","“Winter Break,” by Adrian Tomine.",missing,missing,missing,"https://media.newyorker.com/photos/590950c66552fa0be682b9e7/master/w_280,c_limit/2009_02_02.jpg",missing,missing,missing,missing
The Anniversary Issue,"“Eustice Tilley,” by Rea Irvin.",missing,missing,missing,"https://media.newyorker.com/photos/590950c71c7a8e33fb38a03f/master/w_280,c_limit/2009_02_09.jpg",missing,missing,missing,missing
"February 23, 2009","“Off Base,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c81c7a8e33fb38a042/master/w_280,c_limit/2009_02_23.jpg",missing,missing,missing,missing
"March 2, 2009","“Ecosystem,” by Ivan Brunetti.",missing,missing,missing,"https://media.newyorker.com/photos/590950b7019dfc3494e9d6b5/master/w_280,c_limit/2009_03_02.jpg",missing,missing,missing,missing
"March 9, 2009","“Downsized,” by Bob Staake.",missing,missing,missing,"https://media.newyorker.com/photos/590950b82179605b11ad2cc2/master/w_280,c_limit/2009_03_09.jpg",missing,missing,missing,missing
The Style Issue,"“Michelle O.,” by Floc'h.",missing,missing,missing,"https://media.newyorker.com/photos/590950b9c14b3c606c103501/master/w_280,c_limit/2009_03_16.jpg",missing,missing,missing,missing
"March 23, 2009","“OctoRush,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950b91c7a8e33fb38a004/master/w_280,c_limit/2009_03_23.jpg",missing,missing,missing,missing
"March 30, 2009","“Opening Day,” by Bruce McCall.",missing,missing,missing,"https://media.newyorker.com/photos/590950ba1c7a8e33fb38a007/master/w_280,c_limit/2009_03_30.jpg",missing,missing,missing,missing
"April 6, 2009","“April Fool,” by Roz Chast.",missing,missing,missing,"https://media.newyorker.com/photos/590950bf019dfc3494e9d6d3/master/w_280,c_limit/2009_04_06.jpg",missing,missing,missing,missing
"April 13, 2009","“Spring Vision,” by Harry Bliss.",missing,missing,missing,"https://media.newyorker.com/photos/590950c0019dfc3494e9d6d5/master/w_280,c_limit/2009_04_13.jpg",missing,missing,missing,missing
Journeys,“Ultimate Destination” by Jacques de Loustal.,missing,missing,missing,"https://media.newyorker.com/photos/590950c1c14b3c606c103522/master/w_280,c_limit/2009_04_20.jpg",missing,missing,missing,missing
"April 27, 2009","“Ultimate Destination,” by Jacques de Loustal.",missing,missing,missing,"https://media.newyorker.com/photos/590950c22179605b11ad2ce1/master/w_280,c_limit/2009_04_27.jpg",missing,missing,missing,missing
"May 4, 2009","“Power and Grace,” by J. J. Sempé.",missing,missing,missing,"https://media.newyorker.com/photos/590950bb1c7a8e33fb38a00a/master/w_280,c_limit/2009_05_04.jpg",missing,missing,missing,missing
The Innovators Issue,"“Leading the Way,” by Dan Clowes.",missing,missing,missing,"https://media.newyorker.com/photos/590950bc1c7a8e33fb38a00d/master/w_280,c_limit/2009_05_11.jpg",missing,missing,missing,missing
"May 18, 2009","“Coming Up for Air,” by Eric Drooker.",missing,missing,missing,"https://media.newyorker.com/photos/590950c26552fa0be682b9db/master/w_280,c_limit/2009_05_18.jpg",missing,missing,missing,missing
"May 25, 2009","“Nip and Tuck,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c31c7a8e33fb38a02c/master/w_280,c_limit/2009_05_25.jpg",missing,missing,missing,missing
"June 1, 2009","“Finger Painting,” by Jorge Colombo.",missing,missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a37251a/master/w_280,c_limit/2009_06_01.jpg",missing,missing,missing,missing
Summer Fiction Issue,"“Future Generations,” by Dan Clowes.",missing,missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a37251d/master/w_280,c_limit/2009_06_08.jpg",missing,missing,missing,missing
"June 22, 2009","“Jumping In,” by J.J. Sempé",missing,missing,missing,"https://media.newyorker.com/photos/590950c5019dfc3494e9d6e9/master/w_280,c_limit/2009_06_22.jpg",missing,missing,missing,missing
"June 29, 2009","“Hanging Chador,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c62179605b11ad2cf8/master/w_280,c_limit/2009_06_29.jpg",missing,missing,missing,missing
"July 6 & 13, 2009","“Sanctuary,” by Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950c6ebe912338a372527/master/w_280,c_limit/2009_07_06.jpg",missing,missing,missing,missing
"July 20, 2009","“Tour Wars,” by Bruce McCall.",missing,missing,missing,"https://media.newyorker.com/photos/590950c71c7a8e33fb38a040/master/w_280,c_limit/2009_07_20.jpg",missing,missing,missing,missing
"July 27, 2009","“Cartoon Island,” by Gahan Wilson.",missing,missing,missing,"https://media.newyorker.com/photos/590950c8019dfc3494e9d6fb/master/w_280,c_limit/2009_07_27.jpg",missing,missing,missing,missing
"August 3, 2009","“Siberia,” by Alex Melamid.",missing,missing,missing,"https://media.newyorker.com/photos/590950c91c7a8e33fb38a048/master/w_280,c_limit/2009_08_03.jpg",missing,missing,missing,missing
"August 10 & 17, 2009","“The Hamptons,” by Bruce McCall.",missing,missing,missing,"https://media.newyorker.com/photos/590950c92179605b11ad2d02/master/w_280,c_limit/2009_08_10.jpg",missing,missing,missing,missing
"August 24, 2009","“Double Feature,” by Adrian Tomine.",missing,missing,missing,"https://media.newyorker.com/photos/590950ca1c7a8e33fb38a04c/master/w_280,c_limit/2009_08_24.jpg",missing,missing,missing,missing
"August 31, 2009","“No Trespassing,” by Istvan Banyai.",missing,missing,missing,"https://media.newyorker.com/photos/590950cb2179605b11ad2d07/master/w_280,c_limit/2009_08_31.jpg",missing,missing,missing,missing
"September 7, 2009","“Required Texts,” by Ivan Brunetti.",missing,missing,missing,"https://media.newyorker.com/photos/590950cb6552fa0be682b9ff/master/w_280,c_limit/2009_09_07.jpg",missing,missing,missing,missing
"September 14, 2009","“Step Into Style,” by Bruce McCall.",missing,missing,missing,"https://media.newyorker.com/photos/590950bac14b3c606c103505/master/w_280,c_limit/2009_09_14.jpg",missing,missing,missing,missing
"September 21, 2009","“Finger Painting: New Day,” by Jorge Colombo.",missing,missing,missing,"https://media.newyorker.com/photos/590950ba2179605b11ad2cc8/master/w_280,c_limit/2009_09_21.jpg",missing,missing,missing,missing
"September 28, 2009","“Museum Parking,” by Bruce McCall.",missing,missing,missing,"https://media.newyorker.com/photos/590950bb6552fa0be682b9c7/master/w_280,c_limit/2009_09_28.jpg",missing,missing,missing,missing
"October 5, 2009","“On the Edge,” by Gürbüz Doğan Ekşioğlu.",missing,missing,missing,"https://media.newyorker.com/photos/590950bcc14b3c606c10350a/master/w_280,c_limit/2009_10_05.jpg",missing,missing,missing,missing
The Money Issue,"“The Food Chain,” by Dan Clowes, Zohar Lazar, Mark Ulriksen.",missing,missing,missing,"https://media.newyorker.com/photos/590950be1c7a8e33fb38a014/master/w_280,c_limit/2009_10_12.jpg",missing,missing,missing,missing
"October 19, 2009","“In the World of Books,” by Eric Drooker.",missing,missing,missing,"https://media.newyorker.com/photos/590950bd6552fa0be682b9cc/master/w_280,c_limit/2009_10_19.jpg",missing,missing,missing,missing
"October 26, 2009",“Flu Season” by John Cuneo.,missing,missing,missing,"https://media.newyorker.com/photos/590950be6552fa0be682b9d5/master/w_280,c_limit/2009_10_26.jpg",missing,missing,missing,missing
The Cartoon Issue,"“Unmasked,” by Chris Ware.",missing,missing,missing,"https://media.newyorker.com/photos/590950bf2179605b11ad2cda/master/w_280,c_limit/2009_11_02.jpg",missing,missing,missing,missing
"November 9, 2009","“Autumn in Central Park,” by Eric Drooker.",missing,missing,missing,"https://media.newyorker.com/photos/590950c21c7a8e33fb38a024/master/w_280,c_limit/2009_11_09.jpg",missing,missing,missing,missing
"November 16, 2009","“Night Lights,” by Jorge Colombo.",missing,missing,missing,"https://media.newyorker.com/photos/590950c2019dfc3494e9d6dc/master/w_280,c_limit/2009_11_16.jpg",missing,missing,missing,missing
The Food Issue,"“Pumpkin Cloud,” by Wayne Thiebaud.",missing,missing,missing,"https://media.newyorker.com/photos/590950c12179605b11ad2cde/master/w_280,c_limit/2009_11_23.jpg",missing,missing,missing,missing
"November 30, 2009","“Thanksgiving Skedaddle,” by George Booth.",missing,missing,missing,"https://media.newyorker.com/photos/590950c5c14b3c606c103537/master/w_280,c_limit/2009_11_30.jpg",missing,missing,missing,missing
"December 7, 2009","“Holiday Cheers,”  by Jan Van Der Veken.",missing,missing,missing,"https://media.newyorker.com/photos/590950c4c14b3c606c10352f/master/w_280,c_limit/2009_12_07.jpg",missing,missing,missing,missing
"December 14, 2009","“Season’s Greeting,” by Barry Blitt.",missing,missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a372520/master/w_280,c_limit/2009_12_14.jpg",missing,missing,missing,missing
World Changers,"“New Worlds,” by Javier Mariscal.",missing,missing,missing,"https://media.newyorker.com/photos/590950c72179605b11ad2cfc/master/w_280,c_limit/2009_12_21.jpg",missing,missing,missing,missing
