fecha,autor_portada,titulo_portada,autor_critica,url,url_imagen,news_keywords,keywords,descripcion,id
2008-04-21,Jacques de Loustal.,"“On the Move,”",missing,missing,"https://media.newyorker.com/photos/590950c0c14b3c606c103520/master/w_280,c_limit/2008_04_21.jpg",missing,missing,missing,missing
2008-04-28,William Steig.,"“Vernal Bliss,”",missing,missing,"https://media.newyorker.com/photos/594075c6f0f508523e7e5a69/master/w_280,c_limit/080428_cover_080428.jpg",missing,missing,missing,missing
2008-05-05,Barry Blitt.,"“Mother’s Day Special,”",missing,missing,"https://media.newyorker.com/photos/594075c55116f613261ab4f8/master/w_280,c_limit/080505_cover_080505.jpg",missing,missing,missing,missing
2008-05-12,Dan Clowes.,"“Man’s Best Friend,”",missing,missing,"https://media.newyorker.com/photos/590950c1ebe912338a372511/master/w_280,c_limit/2008_05_12.jpg",missing,missing,missing,missing
2008-05-19,J. J. Sempé,"“Springtime,”",missing,missing,"https://media.newyorker.com/photos/590950c2ebe912338a372514/master/w_280,c_limit/2008_05_19.jpg",missing,missing,missing,missing
2008-05-26,Peter de Sève.,"“Through the Wringer,”",missing,missing,"https://media.newyorker.com/photos/590950c2019dfc3494e9d6df/master/w_280,c_limit/2008_05_26.jpg",missing,missing,missing,missing
2008-06-02,Bob Staake.,"“Foot in the Door,”",missing,missing,"https://media.newyorker.com/photos/59097ae2ebe912338a37852a/master/w_280,c_limit/06_02_2008.jpg",missing,missing,missing,missing
2008-06-09,Adrian Tomine.,"“Book Lovers,”",missing,missing,"https://media.newyorker.com/photos/590950c32179605b11ad2cec/master/w_280,c_limit/2008_06_09.jpg",missing,missing,missing,missing
2008-06-23,Bruce McCall,"“Summer Job,”",missing,missing,"https://media.newyorker.com/photos/590950c41c7a8e33fb38a034/master/w_280,c_limit/2008_06_23.jpg",missing,missing,missing,missing
2008-06-30,Roz Chast.,"“Subway Man,”",missing,missing,"https://media.newyorker.com/photos/590950c56552fa0be682b9e1/master/w_280,c_limit/2008_06_30.jpg",missing,missing,missing,missing
2008-07-07,J. J. Sempé.,"“First Bath,”",missing,missing,"https://media.newyorker.com/photos/590950c5019dfc3494e9d6ef/master/w_280,c_limit/2008_07_07.jpg",missing,missing,missing,missing
2008-07-21,Barry Blitt.,"“The Politics of Fear,”",missing,missing,"https://media.newyorker.com/photos/590950c6019dfc3494e9d6f3/master/w_280,c_limit/2008_07_21.jpg",missing,missing,missing,missing
2008-07-28,Peter de Sève.,"“Summer Getaway,”",missing,missing,"https://media.newyorker.com/photos/590979a58b51cf59fc42388b/master/w_280,c_limit/7_28_08.jpg",missing,missing,missing,missing
2008-08-04,Kim DeMarco.,"“Night Cap,”",missing,missing,"https://media.newyorker.com/photos/590950c71c7a8e33fb38a03d/master/w_280,c_limit/2008_08_04.jpg",missing,missing,missing,missing
2008-08-11,J.J. Sempé.,"“Future Memories,”",missing,missing,"https://media.newyorker.com/photos/590950c86552fa0be682b9ed/master/w_280,c_limit/2008_08_11.jpg",missing,missing,missing,missing
2008-08-25,Richard McGuire.,"“Swim, Swam, Swum,”",missing,missing,"https://media.newyorker.com/photos/590950c8019dfc3494e9d6f9/master/w_280,c_limit/2008_08_25.jpg",missing,missing,missing,missing
2008-09-01,Ana Juan.,"“Object of Desire,”",missing,missing,"https://media.newyorker.com/photos/590950b86552fa0be682b9bd/master/w_280,c_limit/2008_09_01.jpg",missing,missing,missing,missing
2008-09-08,Mark Ulriksen.,"“McNopoly,”",missing,missing,"https://media.newyorker.com/photos/590950b7c14b3c606c1034fa/master/w_280,c_limit/2008_09_08.jpg",missing,missing,missing,missing
2008-09-15,Eric Drooker.,"“New York Moment,”",missing,missing,"https://media.newyorker.com/photos/590950b71c7a8e33fb389ff6/master/w_280,c_limit/2008_09_15.jpg",missing,missing,missing,missing
2008-09-22,Barry Blitt.,"“The Race Is On,”",missing,missing,"https://media.newyorker.com/photos/590950b91c7a8e33fb38a002/master/w_280,c_limit/2008_09_22.jpg",missing,missing,missing,missing
2008-09-29,Eric Drooker.,"“Downward Mobility,”",missing,missing,"https://media.newyorker.com/photos/590950b9ebe912338a3724fc/master/w_280,c_limit/2008_09_29.jpg",missing,missing,missing,missing
2008-10-06,Barry Blitt.,"“A Room with a View,”",missing,missing,"https://media.newyorker.com/photos/590950baebe912338a372500/master/w_280,c_limit/2008_10_06.jpg",missing,missing,missing,missing
2008-10-13,Bob Staake.,"“Face-Off,”",missing,missing,"https://media.newyorker.com/photos/590950bc1c7a8e33fb38a00e/master/w_280,c_limit/2008_10_13.jpg",missing,missing,missing,missing
2008-10-20,Robert Risko.,"“Red Death on Wall Street,”",missing,missing,"https://media.newyorker.com/photos/590950bcc14b3c606c103510/master/w_280,c_limit/2008_10_20.jpg",missing,missing,missing,missing
2008-10-27,Richard McGuire.,"“With Dignity,”",missing,missing,"https://media.newyorker.com/photos/590950bd019dfc3494e9d6c9/master/w_280,c_limit/2008_10_27.jpg",missing,missing,missing,missing
2008-11-03,Carter Goodrich.,"“A True Scare,”",missing,missing,"https://media.newyorker.com/photos/590950be6552fa0be682b9d1/master/w_280,c_limit/2008_11_03.jpg",missing,missing,missing,missing
2008-11-10,Brian Stauffer.,"“A Very Long Tunnel,”",missing,missing,"https://media.newyorker.com/photos/590950be019dfc3494e9d6cd/master/w_280,c_limit/2008_11_10.jpg",missing,missing,missing,missing
2008-11-17,Bob Staake.,"“Reflection,”",missing,missing,"https://media.newyorker.com/photos/590950bf019dfc3494e9d6cf/master/w_280,c_limit/2008_11_17.jpg",missing,missing,missing,missing
2008-11-24,Wayne Thiebaud.,"“Harvest Display,”",missing,missing,"https://media.newyorker.com/photos/590950c0ebe912338a37250a/master/w_280,c_limit/2008_11_24.jpg",missing,missing,missing,missing
2008-12-01,Harry Bliss.,"“Family Gathering,”",missing,missing,"https://media.newyorker.com/photos/590950c16552fa0be682b9d7/master/w_280,c_limit/2008_12_01.jpg",missing,missing,missing,missing
2008-12-08,Barry Blitt.,"“Vetting,”",missing,missing,"https://media.newyorker.com/photos/590950c1c14b3c606c103524/master/w_280,c_limit/2008_12_08.jpg",missing,missing,missing,missing
2008-12-15,Marcellus Hall.,"“Green Christmas,”",missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a37251f/master/w_280,c_limit/2008_12_15.jpg",missing,missing,missing,missing
2008-12-22,missing,missing,missing,missing,,missing,missing,missing,missing
2009-01-05,Barry Blitt.,"“Everything Must Go,”",missing,missing,"https://media.newyorker.com/photos/590950c2c14b3c606c103526/master/w_280,c_limit/2009_01_05.jpg",missing,missing,missing,missing
2009-01-12,Mark Ulriksen.,"“The High Life,”",missing,missing,"https://media.newyorker.com/photos/590950c4c14b3c606c10352e/master/w_280,c_limit/2009_01_12.jpg",missing,missing,missing,missing
2009-01-19,Guy Billout.,"“To the White House,”",missing,missing,"https://media.newyorker.com/photos/590950c56552fa0be682b9e3/master/w_280,c_limit/2009_01_19.jpg",missing,missing,missing,missing
2009-01-26,Drew Friedman.,"“The First,”",missing,missing,"https://media.newyorker.com/photos/590950c52179605b11ad2cf6/master/w_280,c_limit/2009_01_26.jpg",missing,missing,missing,missing
2009-02-02,Adrian Tomine.,"“Winter Break,”",missing,missing,"https://media.newyorker.com/photos/590950c66552fa0be682b9e7/master/w_280,c_limit/2009_02_02.jpg",missing,missing,missing,missing
2009-02-09,Rea Irvin.,"“Eustice Tilley,”",missing,missing,"https://media.newyorker.com/photos/590950c71c7a8e33fb38a03f/master/w_280,c_limit/2009_02_09.jpg",missing,missing,missing,missing
2009-02-23,Barry Blitt.,"“Off Base,”",missing,missing,"https://media.newyorker.com/photos/590950c81c7a8e33fb38a042/master/w_280,c_limit/2009_02_23.jpg",missing,missing,missing,missing
2009-03-02,Ivan Brunetti.,"“Ecosystem,”",missing,missing,"https://media.newyorker.com/photos/590950b7019dfc3494e9d6b5/master/w_280,c_limit/2009_03_02.jpg",missing,missing,missing,missing
2009-03-09,Bob Staake.,"“Downsized,”",missing,missing,"https://media.newyorker.com/photos/590950b82179605b11ad2cc2/master/w_280,c_limit/2009_03_09.jpg",missing,missing,missing,missing
2009-03-16,Floc'h.,"“Michelle O.,”",missing,missing,"https://media.newyorker.com/photos/590950b9c14b3c606c103501/master/w_280,c_limit/2009_03_16.jpg",missing,missing,missing,missing
2009-03-23,Barry Blitt.,"“OctoRush,”",missing,missing,"https://media.newyorker.com/photos/590950b91c7a8e33fb38a004/master/w_280,c_limit/2009_03_23.jpg",missing,missing,missing,missing
2009-03-30,Bruce McCall.,"“Opening Day,”",missing,missing,"https://media.newyorker.com/photos/590950ba1c7a8e33fb38a007/master/w_280,c_limit/2009_03_30.jpg",missing,missing,missing,missing
2009-04-06,Roz Chast.,"“April Fool,”",missing,missing,"https://media.newyorker.com/photos/590950bf019dfc3494e9d6d3/master/w_280,c_limit/2009_04_06.jpg",missing,missing,missing,missing
2009-04-13,Harry Bliss.,"“Spring Vision,”",missing,missing,"https://media.newyorker.com/photos/590950c0019dfc3494e9d6d5/master/w_280,c_limit/2009_04_13.jpg",missing,missing,missing,missing
2009-04-20,Jacques de Loustal.,“Ultimate Destination”,missing,missing,"https://media.newyorker.com/photos/590950c1c14b3c606c103522/master/w_280,c_limit/2009_04_20.jpg",missing,missing,missing,missing
2009-04-27,Jacques de Loustal.,"“Ultimate Destination,”",missing,missing,"https://media.newyorker.com/photos/590950c22179605b11ad2ce1/master/w_280,c_limit/2009_04_27.jpg",missing,missing,missing,missing
2009-05-04,J. J. Sempé.,"“Power and Grace,”",missing,missing,"https://media.newyorker.com/photos/590950bb1c7a8e33fb38a00a/master/w_280,c_limit/2009_05_04.jpg",missing,missing,missing,missing
2009-05-11,Dan Clowes.,"“Leading the Way,”",missing,missing,"https://media.newyorker.com/photos/590950bc1c7a8e33fb38a00d/master/w_280,c_limit/2009_05_11.jpg",missing,missing,missing,missing
2009-05-18,Eric Drooker.,"“Coming Up for Air,”",missing,missing,"https://media.newyorker.com/photos/590950c26552fa0be682b9db/master/w_280,c_limit/2009_05_18.jpg",missing,missing,missing,missing
2009-05-25,Barry Blitt.,"“Nip and Tuck,”",missing,missing,"https://media.newyorker.com/photos/590950c31c7a8e33fb38a02c/master/w_280,c_limit/2009_05_25.jpg",missing,missing,missing,missing
2009-06-01,Jorge Colombo.,"“Finger Painting,”",missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a37251a/master/w_280,c_limit/2009_06_01.jpg",missing,missing,missing,missing
2009-06-08,Dan Clowes.,"“Future Generations,”",missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a37251d/master/w_280,c_limit/2009_06_08.jpg",missing,missing,missing,missing
2009-06-22,J.J. Sempé,"“Jumping In,”",missing,missing,"https://media.newyorker.com/photos/590950c5019dfc3494e9d6e9/master/w_280,c_limit/2009_06_22.jpg",missing,missing,missing,missing
2009-06-29,Barry Blitt.,"“Hanging Chador,”",missing,missing,"https://media.newyorker.com/photos/590950c62179605b11ad2cf8/master/w_280,c_limit/2009_06_29.jpg",missing,missing,missing,missing
2009-07-06,Mark Ulriksen.,"“Sanctuary,”",missing,missing,"https://media.newyorker.com/photos/590950c6ebe912338a372527/master/w_280,c_limit/2009_07_06.jpg",missing,missing,missing,missing
2009-07-20,Bruce McCall.,"“Tour Wars,”",missing,missing,"https://media.newyorker.com/photos/590950c71c7a8e33fb38a040/master/w_280,c_limit/2009_07_20.jpg",missing,missing,missing,missing
2009-07-27,Gahan Wilson.,"“Cartoon Island,”",missing,missing,"https://media.newyorker.com/photos/590950c8019dfc3494e9d6fb/master/w_280,c_limit/2009_07_27.jpg",missing,missing,missing,missing
2009-08-03,Alex Melamid.,"“Siberia,”",missing,missing,"https://media.newyorker.com/photos/590950c91c7a8e33fb38a048/master/w_280,c_limit/2009_08_03.jpg",missing,missing,missing,missing
2009-08-10,Bruce McCall.,"“The Hamptons,”",missing,missing,"https://media.newyorker.com/photos/590950c92179605b11ad2d02/master/w_280,c_limit/2009_08_10.jpg",missing,missing,missing,missing
2009-08-24,Adrian Tomine.,"“Double Feature,”",missing,missing,"https://media.newyorker.com/photos/590950ca1c7a8e33fb38a04c/master/w_280,c_limit/2009_08_24.jpg",missing,missing,missing,missing
2009-08-31,Istvan Banyai.,"“No Trespassing,”",missing,missing,"https://media.newyorker.com/photos/590950cb2179605b11ad2d07/master/w_280,c_limit/2009_08_31.jpg",missing,missing,missing,missing
2009-09-07,Ivan Brunetti.,"“Required Texts,”",missing,missing,"https://media.newyorker.com/photos/590950cb6552fa0be682b9ff/master/w_280,c_limit/2009_09_07.jpg",missing,missing,missing,missing
2009-09-14,Bruce McCall.,"“Step Into Style,”",missing,missing,"https://media.newyorker.com/photos/590950bac14b3c606c103505/master/w_280,c_limit/2009_09_14.jpg",missing,missing,missing,missing
2009-09-21,Jorge Colombo.,"“Finger Painting: New Day,”",missing,missing,"https://media.newyorker.com/photos/590950ba2179605b11ad2cc8/master/w_280,c_limit/2009_09_21.jpg",missing,missing,missing,missing
2009-09-28,Bruce McCall.,"“Museum Parking,”",missing,missing,"https://media.newyorker.com/photos/590950bb6552fa0be682b9c7/master/w_280,c_limit/2009_09_28.jpg",missing,missing,missing,missing
2009-10-05,Gürbüz Doğan Ekşioğlu.,"“On the Edge,”",missing,missing,"https://media.newyorker.com/photos/590950bcc14b3c606c10350a/master/w_280,c_limit/2009_10_05.jpg",missing,missing,missing,missing
2009-10-12,"Dan Clowes, Zohar Lazar, Mark Ulriksen.","“The Food Chain,”",missing,missing,"https://media.newyorker.com/photos/590950be1c7a8e33fb38a014/master/w_280,c_limit/2009_10_12.jpg",missing,missing,missing,missing
2009-10-19,Eric Drooker.,"“In the World of Books,”",missing,missing,"https://media.newyorker.com/photos/590950bd6552fa0be682b9cc/master/w_280,c_limit/2009_10_19.jpg",missing,missing,missing,missing
2009-10-26,John Cuneo.,“Flu Season”,missing,missing,"https://media.newyorker.com/photos/590950be6552fa0be682b9d5/master/w_280,c_limit/2009_10_26.jpg",missing,missing,missing,missing
2009-11-02,Chris Ware.,"“Unmasked,”",missing,missing,"https://media.newyorker.com/photos/590950bf2179605b11ad2cda/master/w_280,c_limit/2009_11_02.jpg",missing,missing,missing,missing
2009-11-09,Eric Drooker.,"“Autumn in Central Park,”",missing,missing,"https://media.newyorker.com/photos/590950c21c7a8e33fb38a024/master/w_280,c_limit/2009_11_09.jpg",missing,missing,missing,missing
2009-11-16,Jorge Colombo.,"“Night Lights,”",missing,missing,"https://media.newyorker.com/photos/590950c2019dfc3494e9d6dc/master/w_280,c_limit/2009_11_16.jpg",missing,missing,missing,missing
2009-11-23,Wayne Thiebaud.,"“Pumpkin Cloud,”",missing,missing,"https://media.newyorker.com/photos/590950c12179605b11ad2cde/master/w_280,c_limit/2009_11_23.jpg",missing,missing,missing,missing
2009-11-30,George Booth.,"“Thanksgiving Skedaddle,”",missing,missing,"https://media.newyorker.com/photos/590950c5c14b3c606c103537/master/w_280,c_limit/2009_11_30.jpg",missing,missing,missing,missing
2009-12-07,Jan Van Der Veken.,"“Holiday Cheers,”",missing,missing,"https://media.newyorker.com/photos/590950c4c14b3c606c10352f/master/w_280,c_limit/2009_12_07.jpg",missing,missing,missing,missing
2009-12-14,Barry Blitt.,"“Season’s Greeting,”",missing,missing,"https://media.newyorker.com/photos/590950c4ebe912338a372520/master/w_280,c_limit/2009_12_14.jpg",missing,missing,missing,missing
2009-12-21,Javier Mariscal.,"“New Worlds,”",missing,missing,"https://media.newyorker.com/photos/590950c72179605b11ad2cfc/master/w_280,c_limit/2009_12_21.jpg",missing,missing,missing,missing
2010-01-04,Ivan Brunetti.,"“Ring Out the Old, Ring In the New,”",missing,missing,"https://media.newyorker.com/photos/590950c61c7a8e33fb38a03a/master/w_280,c_limit/2010_01_04.jpg",missing,missing,missing,missing
2010-01-11,Jan Van Der Veken.,"“Top of the World,”",missing,missing,"https://media.newyorker.com/photos/590950c3019dfc3494e9d6e1/master/w_280,c_limit/2010_01_11.jpg",missing,missing,missing,missing
2010-01-18,Frank Viva.,"“Great Expectations,”",missing,missing,"https://media.newyorker.com/photos/590950c7019dfc3494e9d6f7/master/w_280,c_limit/2010_01_18.jpg",missing,missing,missing,missing
2010-01-25,Frantz Zephirin.,"“The Resurrection of the Dead,”",missing,missing,"https://media.newyorker.com/photos/590950c9ebe912338a372530/master/w_280,c_limit/2010_01_25.jpg",missing,missing,missing,missing
2010-02-01,Barry Blitt.,"“First Anniversary,”",missing,missing,"https://media.newyorker.com/photos/590950c8ebe912338a37252e/master/w_280,c_limit/2010_02_01.jpg",missing,missing,missing,missing
2010-02-08,", It’s Cold Outside,”",“Ba,missing,missing,"https://media.newyorker.com/photos/590950cac14b3c606c103547/master/w_280,c_limit/2010_02_08.jpg",missing,missing,missing,missing
2010-02-15,Chris Ware.,"“Natural Selection,”",missing,missing,"https://media.newyorker.com/photos/590950ca2179605b11ad2d04/master/w_280,c_limit/2010_02_15.jpg",missing,missing,missing,missing
2010-03-01,Brian Stauffer.,"“Whiteout,”",missing,missing,"https://media.newyorker.com/photos/590950cb6552fa0be682b9fd/master/w_280,c_limit/2010_03_01.jpg",missing,missing,missing,missing
2010-03-08,Mark Ulriksen.,"“Ten Nominees,”",missing,missing,"https://media.newyorker.com/photos/590950ccebe912338a372540/master/w_280,c_limit/2010_03_08.jpg",missing,missing,missing,missing
2010-03-15,J.J. Sempé.,"“In the Spotlight,”",missing,missing,"https://media.newyorker.com/photos/590950cdc14b3c606c103554/master/w_280,c_limit/2010_03_15.jpg",missing,missing,missing,missing
2010-03-22,Jorge Colombo.,"“Evening Walk,”",missing,missing,"https://media.newyorker.com/photos/590950c2019dfc3494e9d6d9/master/w_280,c_limit/2010_03_22.jpg",missing,missing,missing,missing
2010-03-29,Ana Juan.,"“Homage,”",missing,missing,"https://media.newyorker.com/photos/590950c22179605b11ad2ce6/master/w_280,c_limit/2010_03_29.jpg",missing,missing,missing,missing
2010-04-05,Kathy Osborn.,"“The Bunny Family,”",missing,missing,"https://media.newyorker.com/photos/590950c32179605b11ad2cea/master/w_280,c_limit/2010_04_05.jpg",missing,missing,missing,missing
2010-04-12,Edward Sorel.,"“Spring Has Sprung,”",missing,missing,"https://media.newyorker.com/photos/590950c4c14b3c606c103530/master/w_280,c_limit/2010_04_12.jpg",missing,missing,missing,missing
2010-04-19,Jacques de Loustal.,"“Voyage Autour de Notre Chambre,”",missing,missing,"https://media.newyorker.com/photos/590950c41c7a8e33fb38a036/master/w_280,c_limit/2010_04_19.jpg",missing,missing,missing,missing
2010-04-26,Frank Viva.,"“Earth Day,”",missing,missing,"https://media.newyorker.com/photos/590950c5c14b3c606c103538/master/w_280,c_limit/2010_04_26.jpg",missing,missing,missing,missing
2010-05-03,Bruce Eric Kaplan.,"“Spring Cleaning,”",missing,missing,"https://media.newyorker.com/photos/590950c6c14b3c606c10353a/master/w_280,c_limit/2010_05_03.jpg",missing,missing,missing,missing
2010-05-10,Bob Staake.,"“Tilt,”",missing,missing,"https://media.newyorker.com/photos/590950c6c14b3c606c10353e/master/w_280,c_limit/2010_05_10.jpg",missing,missing,missing,missing
2010-05-17,Joost Swarte.,"“Novel Approach,”",missing,missing,"https://media.newyorker.com/photos/590950c76552fa0be682b9ea/master/w_280,c_limit/2010_05_17.jpg",missing,missing,missing,missing
2010-05-24,Daniel Clowes.,"“Boomerang Generation,”",missing,missing,"https://media.newyorker.com/photos/590950c81c7a8e33fb38a044/master/w_280,c_limit/2010_05_24.jpg",missing,missing,missing,missing
2010-05-31,Ivan Brunetti.,"“Union Square,”",missing,missing,"https://media.newyorker.com/photos/590950c8019dfc3494e9d6fd/master/w_280,c_limit/2010_05_31.jpg",missing,missing,missing,missing
2010-06-07,Barry Blitt.,"“Five Weeks Later . . .,”",missing,missing,"https://media.newyorker.com/photos/590950c9019dfc3494e9d701/master/w_280,c_limit/2010_06_07.jpg",missing,missing,missing,missing
2010-06-14,Chris Ware.,"“Finish Line,”",missing,missing,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f3/master/w_280,c_limit/2010_06_14.jpg",missing,missing,missing,missing
2010-06-28,Richard McGuire.,"“I Do,”",missing,missing,"https://media.newyorker.com/photos/590950cb019dfc3494e9d709/master/w_280,c_limit/2010_06_28.jpg",missing,missing,missing,missing
2010-07-05,Bob Staake.,"“After Escher: Gulf Sky and Water,”",missing,missing,"https://media.newyorker.com/photos/590950cc1c7a8e33fb38a054/master/w_280,c_limit/2010_07_05.jpg",missing,missing,missing,missing
2010-07-12,Edward Koren.,"“Big Bug City,”",missing,missing,"https://media.newyorker.com/photos/590950ce6552fa0be682ba0a/master/w_280,c_limit/2010_07_12.jpg",missing,missing,missing,missing
2010-07-26,Adrian Tomine.,"“Summer Getaway,”",missing,missing,"https://media.newyorker.com/photos/590950ceebe912338a372548/master/w_280,c_limit/2010_07_26.jpg",missing,missing,missing,missing
2010-08-02,J. J. Sempé.,"“The Joys and Torments of Solitude,”",missing,missing,"https://media.newyorker.com/photos/590950cf6552fa0be682ba10/master/w_280,c_limit/2010_08_02.jpg",missing,missing,missing,missing
2010-08-09,Christoph Niemann.,"“Dropped Call,”",missing,missing,"https://media.newyorker.com/photos/590950d12179605b11ad2d20/master/w_280,c_limit/2010_08_09.jpg",missing,missing,missing,missing
2010-08-16,Lorenzo Mattotti.,"“Tuscany,”",missing,missing,"https://media.newyorker.com/photos/590950d11c7a8e33fb38a06c/master/w_280,c_limit/2010_08_16.jpg",missing,missing,missing,missing
2010-08-30,Barry Blitt.,"“Pause,”",missing,missing,"https://media.newyorker.com/photos/590950d32179605b11ad2d2c/master/w_280,c_limit/2010_08_30.jpg",missing,missing,missing,missing
2010-09-06,Arnold Roth.,"“Oops!,”",missing,missing,"https://media.newyorker.com/photos/590950c7ebe912338a37252a/master/w_280,c_limit/2010_09_06.jpg",missing,missing,missing,missing
2010-09-13,Peter de Sève.,"“Beasts of Burden,”",missing,missing,"https://media.newyorker.com/photos/590950c9c14b3c606c103544/master/w_280,c_limit/2010_09_13.jpg",missing,missing,missing,missing
2010-09-20,Bruce McCall.,"“Catwalk,”",missing,missing,"https://media.newyorker.com/photos/590950caebe912338a372534/master/w_280,c_limit/2010_09_20.jpg",missing,missing,missing,missing
2010-09-27,Barry Blitt.,"“Bedbugs and Beyond,”",missing,missing,"https://media.newyorker.com/photos/590950ca1c7a8e33fb38a04e/master/w_280,c_limit/2010_09_27.jpg",missing,missing,missing,missing
2010-10-04,David Hockney.,"“The Breakfast Plate,”",missing,missing,"https://media.newyorker.com/photos/590950cc6552fa0be682ba02/master/w_280,c_limit/2010_10_04.jpg",missing,missing,missing,missing
2010-10-11,Chris Ware.,"“Discovering America,”",missing,missing,"https://media.newyorker.com/photos/590950cdebe912338a372544/master/w_280,c_limit/2010_10_11.jpg",missing,missing,missing,missing
2010-10-18,Roz Chast.,"“Shelved,”",missing,missing,"https://media.newyorker.com/photos/590950cec14b3c606c103559/master/w_280,c_limit/2010_10_18.jpg",missing,missing,missing,missing
2010-10-25,Eric Drooker.,"“Twilight,”",missing,missing,"https://media.newyorker.com/photos/590950cf019dfc3494e9d71f/master/w_280,c_limit/2010_10_25.jpg",missing,missing,missing,missing
2010-11-01,Ivan Brunetti.,"“Dressed Down,”",missing,missing,"https://media.newyorker.com/photos/590950d0019dfc3494e9d721/master/w_280,c_limit/2010_11_01.jpg",missing,missing,missing,missing
2010-11-08,Lorenzo Mattotti.,"“Rite of Fall,”",missing,missing,"https://media.newyorker.com/photos/590950d22179605b11ad2d24/master/w_280,c_limit/2010_11_08.jpg",missing,missing,missing,missing
2010-11-15,Barry Blitt.,"“Bumped,”",missing,missing,"https://media.newyorker.com/photos/590950d2019dfc3494e9d729/master/w_280,c_limit/2010_11_15.jpg",missing,missing,missing,missing
2010-11-22,Wayne Thiebaud.,"“Circle Dip,”",missing,missing,"https://media.newyorker.com/photos/590950d3c14b3c606c10356c/master/w_280,c_limit/2010_11_22.jpg",missing,missing,missing,missing
2010-11-29,Bruce McCall.,"“The Best Part,”",missing,missing,"https://media.newyorker.com/photos/590950d5ebe912338a372568/master/w_280,c_limit/2010_11_29.jpg",missing,missing,missing,missing
2010-12-06,Barry Blitt.,"“Feeling the Love,”",missing,missing,"https://media.newyorker.com/photos/590950d66552fa0be682ba27/master/w_280,c_limit/2010_12_06.jpg",missing,missing,missing,missing
2010-12-13,George Booth.,"“Ho-ho-HO!,”",missing,missing,"https://media.newyorker.com/photos/590950c86552fa0be682b9ef/master/w_280,c_limit/2010_12_13.jpg",missing,missing,missing,missing
2010-12-20,Christoph Niemann.,"“One Small Step at a Time,”",missing,missing,"https://media.newyorker.com/photos/590950c91c7a8e33fb38a04a/master/w_280,c_limit/2010_12_20.jpg",missing,missing,missing,missing
2011-01-03,Richard McGuire.,"“Happy New Decade,”",missing,missing,"https://media.newyorker.com/photos/590950ca6552fa0be682b9f9/master/w_280,c_limit/2011_01_03.jpg",missing,missing,missing,missing
